sku,collection,category,inventory,date,supply_days
Berne 120 pingu,Berne tables,Dining table,7,.10.2023,36
Berne 120 pingu K-A Dark,Berne tables,Dining table,10,.10.2023,36
Berne 120 profil,Berne tables,Dining table,5,.10.2023,36
Berne 120 profil K-A Dark,Berne tables,Dining table,3,.10.2023,36
Berne 140 pingu,Berne tables,Dining table,7,.10.2023,36
Berne 140 pingu K-A Dark,Berne tables,Dining table,2,.10.2023,36
Berne 140 profil,Berne tables,Dining table,11,.10.2023,36
Berne 140 profil K-A Dark,Berne tables,Dining table,5,.10.2023,36
Berne 160 profil,Berne tables,Dining table,0,.10.2023,36
Berne 160 profil K-A Dark,Berne tables,Dining table,10,.10.2023,36
Berne 180 profil,Berne tables,Dining table,12,.10.2023,36
Berne 180 profil K-A Dark,Berne tables,Dining table,11,.10.2023,36
Berne 200 profil,Berne tables,Dining table,6,.10.2023,36
Berne 200 profil K-A Dark,Berne tables,Dining table,1,.10.2023,36
Berne 140 profil_SF,Berne tables,Dining table,15,.10.2023,36
Berne 160 profil_SF,Berne tables,Dining table,11,.10.2023,36
Berne 180 profil K-A Dark_SF,Berne tables,Dining table,13,.10.2023,36
Berne 180 profil_SF,Berne tables,Dining table,9,.10.2023,36
Scots Pine 120 Pingu,Scots Pine tables,Dining table,13,.10.2023,36
Scots Pine 120 Profil,Scots Pine tables,Dining table,8,.10.2023,36
Scots Pine 140 Pingu,Scots Pine tables,Dining table,6,.10.2023,36
Scots Pine 140 Profil,Scots Pine tables,Dining table,3,.10.2023,36
Scots Pine 160 Pingu,Scots Pine tables,Dining table,0,.10.2023,36
Scots Pine 160 Profil,Scots Pine tables,Dining table,14,.10.2023,36
Scots Pine 180 Profil,Scots Pine tables,Dining table,6,.10.2023,36
Scots Pine 200 Profil,Scots Pine tables,Dining table,14,.10.2023,36
Scotspine_140x80_tischplatte,Scots Pine tables,Dining table,3,.10.2023,36
Scotspine_180x80_tischplatte,Scots Pine tables,Dining table,1,.10.2023,36
Scots Pine 140 Profil_SF,Scots Pine tables,Dining table,9,.10.2023,36
Scots Pine 160 Pingu_SF,Scots Pine tables,Dining table,10,.10.2023,36
Scots Pine 160 Profil_SF,Scots Pine tables,Dining table,8,.10.2023,36
Scots Pine 180 Profil_SF,Scots Pine tables,Dining table,2,.10.2023,36
Bejar-Abgerundeter-Profil-120,Bejar tables,Dining table,10,.10.2023,36
Bejar-Abgerundeter-Profil-140,Bejar tables,Dining table,1,.10.2023,36
Bejar-Abgerundeter-Profil-160,Bejar tables,Dining table,5,.10.2023,36
Bejar-Abgerundeter-Profil-180,Bejar tables,Dining table,15,.10.2023,36
demandes masa UK,Homeoffice,Desk,0,.10.2023,31
demandes_masa,Homeoffice,Desk,5,.10.2023,31
granada_desk_black,Homeoffice,Desk,14,.10.2023,31
QE-NUXL-GXHW,Homeoffice,Desk,16,.10.2023,31
Oviedo Minii sari,Oviedo,Coffee table,16,.10.2023,41
oviedo-40sehpa-UK,Oviedo,Coffee table,30,.10.2023,41
oviedo-60sehpa-UK,Oviedo,Coffee table,30,.10.2023,41
oviedo-80masa-UK,Oviedo,Coffee table,15,.10.2023,41
oviedo-80sehpa-UK,Oviedo,Coffee table,29,.10.2023,41
oviedo-combo-40-60-80,Oviedo,Coffee table,1,.10.2023,41
oviedo-combo-60-80,Oviedo,Coffee table,1,.10.2023,41
oviedo-combo-60-80-UK,Oviedo,Coffee table,29,.10.2023,41
oviedo-drop-shape-L,Oviedo,Coffee table,9,.10.2023,41
oviedo-drop-shape-L_UK,Oviedo,Coffee table,22,.10.2023,41
oviedo-drop-shape-M,Oviedo,Coffee table,11,.10.2023,41
oviedo-drop-shape-M_UK,Oviedo,Coffee table,2,.10.2023,41
oviedo-drop-shape-M+L,Oviedo,Coffee table,28,.10.2023,41
oviedo-drop-shape-M+L_UK,Oviedo,Coffee table,12,.10.2023,41
oviedo-drop-shape-S,Oviedo,Coffee table,24,.10.2023,41
oviedo-drop-shape-S_UK,Oviedo,Coffee table,30,.10.2023,41
oviedo-drop-shape-S+M,Oviedo,Coffee table,0,.10.2023,41
oviedo-drop-shape-S+M_UK,Oviedo,Coffee table,16,.10.2023,41
oviedo-drop-shape-S+M+L,Oviedo,Coffee table,13,.10.2023,41
oviedo-masa-60,Oviedo,Coffee table,15,.10.2023,41
oviedo-masa-80-a,Oviedo,Coffee table,28,.10.2023,41
oviedo-sehpa-40-a,Oviedo,Coffee table,24,.10.2023,41
oviedo-sehpa-80-a,Oviedo,Coffee table,6,.10.2023,41
oviedo-sehpa-combo,Oviedo,Coffee table,30,.10.2023,41
oviedo-sehpa-combo-UK,Oviedo,Coffee table,2,.10.2023,41
hueca-dresuar-dub,Huesca,Coffee table,15,.10.2023,41
Huesca Table,Huesca,Coffee table,3,.10.2023,41
huesca-cift-kat,Huesca,Coffee table,15,.10.2023,41
huesca-cift-kat_UK,Huesca,Coffee table,20,.10.2023,41
huesca-dresuar,Huesca,Coffee table,27,.10.2023,41
huesca-mini,Huesca,Coffee table,4,.10.2023,41
huesca-table-115x75,Huesca,Coffee table,16,.10.2023,41
huesca-tek-kat,Huesca,Coffee table,2,.10.2023,41
huescaset-mini+cift,Huesca,Coffee table,6,.10.2023,41
huesca-v-legs,Huesca,Coffee table,3,.10.2023,41
Berne sehpa 115x60,Baumkante coffee tables,Coffee table,25,.10.2023,36
Berne sehpa 95x65,Baumkante coffee tables,Coffee table,27,.10.2023,36
Berne sehpa 95x65_UK,Baumkante coffee tables,Coffee table,28,.10.2023,36
MO-J11D-NQWJ,Baumkante coffee tables,Coffee table,28,.10.2023,36
Malaga 100*55 Kayin,Malaga,Coffee table,16,.10.2023,36
Malaga 100*55 Oak,Malaga,Coffee table,8,.10.2023,36
Malaga 60*60 Kayin,Malaga,Coffee table,13,.10.2023,36
Malaga 60*60 Oak,Malaga,Coffee table,13,.10.2023,36
dresuar,Baumkante consoles,Console,15,.10.2023,36
F3-PW2R-2PL4,Baumkante consoles,Console,3,.10.2023,36
ayna_12040_beyaz,Wooden mirrors 120x40,Mirror,13,.10.2023,23
ayna_12040_beyaz_UK,Wooden mirrors 120x40,Mirror,10,.10.2023,23
ayna_12040_ceviz,Wooden mirrors 120x40,Mirror,3,.10.2023,23
ayna_12040_ceviz_UK,Wooden mirrors 120x40,Mirror,27,.10.2023,23
ayna_12040_siyah,Wooden mirrors 120x40,Mirror,11,.10.2023,23
ayna_12040_siyah_UK,Wooden mirrors 120x40,Mirror,26,.10.2023,23
luno-mirror-walnut,Luno mirror,Mirror,12,.10.2023,23
amorphous-UK,Asymmetric mirrors,Mirror,19,.10.2023,23
aqua_ayna_seffaf,Asymmetric mirrors,Mirror,22,.10.2023,23
aqua_ayna_seffaf_UK,Asymmetric mirrors,Mirror,23,.10.2023,23
ayna_amorphous,Asymmetric mirrors,Mirror,97,.10.2023,23
ayna_aqua,Asymmetric mirrors,Mirror,30,.10.2023,23
ayna_aqua_UK,Asymmetric mirrors,Mirror,17,.10.2023,23
ayna_gusto,Asymmetric mirrors,Mirror,85,.10.2023,23
ayna_gusto_gold,Asymmetric mirrors,Mirror,20,.10.2023,23
ayna_gusto_UK,Asymmetric mirrors,Mirror,23,.10.2023,23
denia_wood_120x57_walnut,Asymmetric mirrors,Mirror,14,.10.2023,23
gold-irregular-mirror,Premium mirrors,Mirror,12,.10.2023,23
gold-mood-mirror,Premium mirrors,Mirror,26,.10.2023,23
gold-smooth-mirror,Premium mirrors,Mirror,1,.10.2023,23
terra-mirror-walnut-102x62,Terra mirrors,Mirror,25,.10.2023,23
terra-mirror-walnut-148x58,Terra mirrors,Mirror,21,.10.2023,23
mira-mirror-black-metal,Mira mirrors,Mirror,11,.10.2023,23
mira-mirror-gold-metal,Mira mirrors,Mirror,19,.10.2023,23
mia-chair-BF-orange-x4,Mia,Chair,0,.10.2023,31
mia-chair-BF-orange-x6,Mia,Chair,0,.10.2023,31
mia-chair-BF-white-x2,Mia,Chair,0,.10.2023,31
mia-chair-BF-white-x4,Mia,Chair,0,.10.2023,31
mia-chair-BF-white-x6,Mia,Chair,0,.10.2023,31
roa-orange-x4,Roa,Chair,18,.10.2023,31
roa-white-x2,Roa,Chair,6,.10.2023,31
roa-white-x4,Roa,Chair,19,.10.2023,31
roa-white-x6,Roa,Chair,5,.10.2023,31
mammo-bergere-anthracite,Mammo bergere,Sofa,1,.10.2023,34
mammo-bergere-cream,Mammo bergere,Sofa,2,.10.2023,34
mammo-bergere-navy,Mammo bergere,Sofa,4,.10.2023,34
mammo-bergere+ottoman-anthracite,Mammo bergere,Sofa,0,.10.2023,34
mammo-bergere+ottoman-cream,Mammo bergere,Sofa,0,.10.2023,34
mammo-bergere+ottoman-navy,Mammo bergere,Sofa,0,.10.2023,34
mammo-ottoman-anthracite,Mammo bergere,Sofa,0,.10.2023,34
mammo-ottoman-cream,Mammo bergere,Sofa,0,.10.2023,34
mammo-sofa-anthracite,Mammo sofa,Sofa,0,.10.2023,34
mammo-sofa-cream,Mammo sofa,Sofa,0,.10.2023,34
mammo-sofa-grey,Mammo sofa,Sofa,2,.10.2023,34
mammo-sofa-navy,Mammo sofa,Sofa,4,.10.2023,34
mammo-sofa+ottoman-anthracite,Mammo sofa,Sofa,9,.10.2023,34
mammo-sofa-cream_SF,Mammo sofa,Sofa,14,.10.2023,34
mammo-L-sofa-anthracite,Mammo sofa,Sofa,10,.10.2023,34
mammo-L-sofa-cream,Mammo sofa,Sofa,9,.10.2023,34
mammo-L-sofa-navy,Mammo sofa,Sofa,27,.10.2023,34
mammo-sofa+bergere+ottoman-anthracite,Mammo set,Sofa,0,.10.2023,34
mammo-sofa+bergere+ottoman-cream,Mammo set,Sofa,0,.10.2023,34
mammo-sofa+bergere+ottoman-grey,Mammo set,Sofa,0,.10.2023,34
mammo-sofa+bergere+ottoman-navy,Mammo set,Sofa,0,.10.2023,34
luna-pouf-anthracite,Luna,Pouf,1,.10.2023,26
luna-pouf-beige,Luna,Pouf,5,.10.2023,26
luna-pouf-black,Luna,Pouf,2,.10.2023,26
luna-pouf-cube-cream,Luna,Pouf,28,.10.2023,26
luna-pouf-cube-grey,Luna,Pouf,6,.10.2023,26
luna-pouf-green,Luna,Pouf,10,.10.2023,26
luna-pouf-mustard,Luna,Pouf,1,.10.2023,26
luna-pouf-red,Luna,Pouf,7,.10.2023,26
luna-pouf-cube-Anthrazit,Luna,Pouf,1,.10.2023,26
salamanca-sofabed+bergere-navy,Salamanca,Sofa,17,.10.2023,26
palencia-L-sofa-anthracite,Palencia,Sofa,3,.10.2023,26
palencia-L-sofa-cream,Palencia,Sofa,5,.10.2023,26
palencia-L-sofa+pouf-anthracite,Palencia,Sofa,1,.10.2023,26
palencia-L-sofa+pouf-cream,Palencia,Sofa,2,.10.2023,26
palencia-L-sofa+pouf-grey,Palencia,Sofa,2,.10.2023,26
palencia-pouf-anthracite,Palencia,Sofa,2,.10.2023,26
bilbao-sofa-anthracite,Bilbao,Sofa,8,.10.2023,26
bilbao-sofa-purple_SF,Bilbao,Sofa,2,.10.2023,26
murcia-sofa-black,Murcia,Sofa,4,.10.2023,26
murcia-sofa-sand,Murcia,Sofa,4,.10.2023,26
palamos-sofa-brown,Palamos,Sofa,2,.10.2023,26
palamos-sofa-green,Palamos,Sofa,4,.10.2023,26
palamos-sofa-grey,Palamos,Sofa,2,.10.2023,26
palamos-sofa-grey_SF,Palamos,Sofa,27,.10.2023,26
berne-180U-Mia-Orange-6x,Berne Mia Set,Set,24,.10.2023,26
sevilla-140-K-U,Sevilla,Dining table,0,.10.2023,26
sevilla-160-K-U,Sevilla,Dining table,0,.10.2023,26
La-Moncloa-120-Profil-Buche,La Moncloa,Dining table,27,.10.2023,26
La-Moncloa-160-Profil-Buche,La Moncloa,Dining table,9,.10.2023,26
Pingu-Metallbeinen,Table legs,Legs,18,.10.2023,26
Spider-leg-120,Table legs,Legs,28,.10.2023,26
Spider-leg-150,Table legs,Legs,15,.10.2023,26
Spider-leg-85,Table legs,Legs,10,.10.2023,26
U-Legs,Table legs,Legs,27,.10.2023,26
holzbeinstuhle_x4,Industrial chairs,Chair,3,.10.2023,31
metallbeinstuhle_x2,Industrial chairs,Chair,18,.10.2023,31
metallbeinstuhle_x4,Industrial chairs,Chair,4,.10.2023,31
ayna_yuvarlak_ceviz,Round wooden mirrors,Mirror,26,.10.2023,23
ayna_yuvarlak_oak,Round wooden mirrors,Mirror,7,.10.2023,23
ayna_yuvarlak_siyah,Round wooden mirrors,Mirror,30,.10.2023,23
Ayna-yuvarlak-beyaz,Round wooden mirrors,Mirror,30,.10.2023,23
Obejo-Black-47,Round wooden mirrors,Mirror,1,.10.2023,23
Obejo-Black-78,Round wooden mirrors,Mirror,20,.10.2023,23
Obejo-Oak-47,Round wooden mirrors,Mirror,9,.10.2023,23
Obejo-Oak-78,Round wooden mirrors,Mirror,3,.10.2023,23
Obejo-Walnut-45,Round wooden mirrors,Mirror,4,.10.2023,23
Obejo-Walnut-45_UK,Round wooden mirrors,Mirror,15,.10.2023,23
Obejo-Walnut-78,Round wooden mirrors,Mirror,22,.10.2023,23
Obejo-White-45,Round wooden mirrors,Mirror,20,.10.2023,23
Obejo-White-45_UK,Round wooden mirrors,Mirror,24,.10.2023,23
Obejo-White-78,Round wooden mirrors,Mirror,3,.10.2023,23
ekohali_arya_black80150,Arya,Carpet,0,.10.2023,31
ekohali_arya_grey_120180,Arya,Carpet,0,.10.2023,31
ekohali_arya_grey_80150,Arya,Carpet,0,.10.2023,31
ekohali_arya_natural120180,Arya,Carpet,0,.10.2023,31
ekohali_arya_pinkaqua160230,Arya,Carpet,0,.10.2023,31
Berne 120 pingu,Berne tables,Dining table,5,.9.2023,36
Berne 120 pingu K-A Dark,Berne tables,Dining table,12,.9.2023,36
Berne 120 profil,Berne tables,Dining table,4,.9.2023,36
Berne 120 profil K-A Dark,Berne tables,Dining table,2,.9.2023,36
Berne 140 pingu,Berne tables,Dining table,8,.9.2023,36
Berne 140 pingu K-A Dark,Berne tables,Dining table,4,.9.2023,36
Berne 140 profil,Berne tables,Dining table,9,.9.2023,36
Berne 140 profil K-A Dark,Berne tables,Dining table,7,.9.2023,36
Berne 160 profil,Berne tables,Dining table,2,.9.2023,36
Berne 160 profil K-A Dark,Berne tables,Dining table,9,.9.2023,36
Berne 180 profil,Berne tables,Dining table,13,.9.2023,36
Berne 180 profil K-A Dark,Berne tables,Dining table,13,.9.2023,36
Berne 200 profil,Berne tables,Dining table,4,.9.2023,36
Berne 200 profil K-A Dark,Berne tables,Dining table,3,.9.2023,36
Berne 140 profil_SF,Berne tables,Dining table,14,.9.2023,36
Berne 160 profil_SF,Berne tables,Dining table,10,.9.2023,36
Berne 180 profil K-A Dark_SF,Berne tables,Dining table,14,.9.2023,36
Berne 180 profil_SF,Berne tables,Dining table,11,.9.2023,36
Scots Pine 120 Pingu,Scots Pine tables,Dining table,11,.9.2023,36
Scots Pine 120 Profil,Scots Pine tables,Dining table,10,.9.2023,36
Scots Pine 140 Pingu,Scots Pine tables,Dining table,5,.9.2023,36
Scots Pine 140 Profil,Scots Pine tables,Dining table,2,.9.2023,36
Scots Pine 160 Pingu,Scots Pine tables,Dining table,1,.9.2023,36
Scots Pine 160 Profil,Scots Pine tables,Dining table,16,.9.2023,36
Scots Pine 180 Profil,Scots Pine tables,Dining table,4,.9.2023,36
Scots Pine 200 Profil,Scots Pine tables,Dining table,16,.9.2023,36
Scotspine_140x80_tischplatte,Scots Pine tables,Dining table,2,.9.2023,36
Scotspine_180x80_tischplatte,Scots Pine tables,Dining table,0,.9.2023,36
Scots Pine 140 Profil_SF,Scots Pine tables,Dining table,10,.9.2023,36
Scots Pine 160 Pingu_SF,Scots Pine tables,Dining table,12,.9.2023,36
Scots Pine 160 Profil_SF,Scots Pine tables,Dining table,6,.9.2023,36
Scots Pine 180 Profil_SF,Scots Pine tables,Dining table,4,.9.2023,36
Bejar-Abgerundeter-Profil-120,Bejar tables,Dining table,9,.9.2023,36
Bejar-Abgerundeter-Profil-140,Bejar tables,Dining table,0,.9.2023,36
Bejar-Abgerundeter-Profil-160,Bejar tables,Dining table,6,.9.2023,36
Bejar-Abgerundeter-Profil-180,Bejar tables,Dining table,17,.9.2023,36
demandes masa UK,Homeoffice,Desk,2,.9.2023,31
demandes_masa,Homeoffice,Desk,7,.9.2023,31
granada_desk_black,Homeoffice,Desk,13,.9.2023,31
QE-NUXL-GXHW,Homeoffice,Desk,15,.9.2023,31
Oviedo Minii sari,Oviedo,Coffee table,17,.9.2023,41
oviedo-40sehpa-UK,Oviedo,Coffee table,32,.9.2023,41
oviedo-60sehpa-UK,Oviedo,Coffee table,28,.9.2023,41
oviedo-80masa-UK,Oviedo,Coffee table,17,.9.2023,41
oviedo-80sehpa-UK,Oviedo,Coffee table,28,.9.2023,41
oviedo-combo-40-60-80,Oviedo,Coffee table,0,.9.2023,41
oviedo-combo-60-80,Oviedo,Coffee table,2,.9.2023,41
oviedo-combo-60-80-UK,Oviedo,Coffee table,31,.9.2023,41
oviedo-drop-shape-L,Oviedo,Coffee table,7,.9.2023,41
oviedo-drop-shape-L_UK,Oviedo,Coffee table,24,.9.2023,41
oviedo-drop-shape-M,Oviedo,Coffee table,10,.9.2023,41
oviedo-drop-shape-M_UK,Oviedo,Coffee table,1,.9.2023,41
oviedo-drop-shape-M+L,Oviedo,Coffee table,29,.9.2023,41
oviedo-drop-shape-M+L_UK,Oviedo,Coffee table,14,.9.2023,41
oviedo-drop-shape-S,Oviedo,Coffee table,22,.9.2023,41
oviedo-drop-shape-S_UK,Oviedo,Coffee table,32,.9.2023,41
oviedo-drop-shape-S+M,Oviedo,Coffee table,-1,.9.2023,41
oviedo-drop-shape-S+M_UK,Oviedo,Coffee table,15,.9.2023,41
oviedo-drop-shape-S+M+L,Oviedo,Coffee table,14,.9.2023,41
oviedo-masa-60,Oviedo,Coffee table,17,.9.2023,41
oviedo-masa-80-a,Oviedo,Coffee table,26,.9.2023,41
oviedo-sehpa-40-a,Oviedo,Coffee table,26,.9.2023,41
oviedo-sehpa-80-a,Oviedo,Coffee table,5,.9.2023,41
oviedo-sehpa-combo,Oviedo,Coffee table,29,.9.2023,41
oviedo-sehpa-combo-UK,Oviedo,Coffee table,3,.9.2023,41
hueca-dresuar-dub,Huesca,Coffee table,17,.9.2023,41
Huesca Table,Huesca,Coffee table,1,.9.2023,41
huesca-cift-kat,Huesca,Coffee table,17,.9.2023,41
huesca-cift-kat_UK,Huesca,Coffee table,19,.9.2023,41
huesca-dresuar,Huesca,Coffee table,26,.9.2023,41
huesca-mini,Huesca,Coffee table,5,.9.2023,41
huesca-table-115x75,Huesca,Coffee table,18,.9.2023,41
huesca-tek-kat,Huesca,Coffee table,0,.9.2023,41
huescaset-mini+cift,Huesca,Coffee table,8,.9.2023,41
huesca-v-legs,Huesca,Coffee table,2,.9.2023,41
Berne sehpa 115x60,Baumkante coffee tables,Coffee table,24,.9.2023,36
Berne sehpa 95x65,Baumkante coffee tables,Coffee table,28,.9.2023,36
Berne sehpa 95x65_UK,Baumkante coffee tables,Coffee table,30,.9.2023,36
MO-J11D-NQWJ,Baumkante coffee tables,Coffee table,26,.9.2023,36
Malaga 100*55 Kayin,Malaga,Coffee table,18,.9.2023,36
Malaga 100*55 Oak,Malaga,Coffee table,7,.9.2023,36
Malaga 60*60 Kayin,Malaga,Coffee table,12,.9.2023,36
Malaga 60*60 Oak,Malaga,Coffee table,14,.9.2023,36
dresuar,Baumkante consoles,Console,17,.9.2023,36
F3-PW2R-2PL4,Baumkante consoles,Console,1,.9.2023,36
ayna_12040_beyaz,Wooden mirrors 120x40,Mirror,15,.9.2023,23
ayna_12040_beyaz_UK,Wooden mirrors 120x40,Mirror,9,.9.2023,23
ayna_12040_ceviz,Wooden mirrors 120x40,Mirror,2,.9.2023,23
ayna_12040_ceviz_UK,Wooden mirrors 120x40,Mirror,28,.9.2023,23
ayna_12040_siyah,Wooden mirrors 120x40,Mirror,13,.9.2023,23
ayna_12040_siyah_UK,Wooden mirrors 120x40,Mirror,24,.9.2023,23
luno-mirror-walnut,Luno mirror,Mirror,14,.9.2023,23
amorphous-UK,Asymmetric mirrors,Mirror,18,.9.2023,23
aqua_ayna_seffaf,Asymmetric mirrors,Mirror,21,.9.2023,23
aqua_ayna_seffaf_UK,Asymmetric mirrors,Mirror,24,.9.2023,23
ayna_amorphous,Asymmetric mirrors,Mirror,128,.9.2023,23
ayna_aqua,Asymmetric mirrors,Mirror,28,.9.2023,23
ayna_aqua_UK,Asymmetric mirrors,Mirror,19,.9.2023,23
ayna_gusto,Asymmetric mirrors,Mirror,128,.9.2023,23
ayna_gusto_gold,Asymmetric mirrors,Mirror,19,.9.2023,23
ayna_gusto_UK,Asymmetric mirrors,Mirror,24,.9.2023,23
denia_wood_120x57_walnut,Asymmetric mirrors,Mirror,16,.9.2023,23
gold-irregular-mirror,Premium mirrors,Mirror,10,.9.2023,23
gold-mood-mirror,Premium mirrors,Mirror,28,.9.2023,23
gold-smooth-mirror,Premium mirrors,Mirror,0,.9.2023,23
terra-mirror-walnut-102x62,Terra mirrors,Mirror,24,.9.2023,23
terra-mirror-walnut-148x58,Terra mirrors,Mirror,22,.9.2023,23
mira-mirror-black-metal,Mira mirrors,Mirror,13,.9.2023,23
mira-mirror-gold-metal,Mira mirrors,Mirror,17,.9.2023,23
mia-chair-BF-orange-x4,Mia,Chair,2,.9.2023,31
mia-chair-BF-orange-x6,Mia,Chair,-1,.9.2023,31
mia-chair-BF-white-x2,Mia,Chair,-1,.9.2023,31
mia-chair-BF-white-x4,Mia,Chair,1,.9.2023,31
mia-chair-BF-white-x6,Mia,Chair,2,.9.2023,31
roa-orange-x4,Roa,Chair,16,.9.2023,31
roa-white-x2,Roa,Chair,8,.9.2023,31
roa-white-x4,Roa,Chair,18,.9.2023,31
roa-white-x6,Roa,Chair,4,.9.2023,31
mammo-bergere-anthracite,Mammo bergere,Sofa,2,.9.2023,34
mammo-bergere-cream,Mammo bergere,Sofa,4,.9.2023,34
mammo-bergere-navy,Mammo bergere,Sofa,2,.9.2023,34
mammo-bergere+ottoman-anthracite,Mammo bergere,Sofa,2,.9.2023,34
mammo-bergere+ottoman-cream,Mammo bergere,Sofa,-1,.9.2023,34
mammo-bergere+ottoman-navy,Mammo bergere,Sofa,-1,.9.2023,34
mammo-ottoman-anthracite,Mammo bergere,Sofa,1,.9.2023,34
mammo-ottoman-cream,Mammo bergere,Sofa,2,.9.2023,34
mammo-sofa-anthracite,Mammo sofa,Sofa,-2,.9.2023,34
mammo-sofa-cream,Mammo sofa,Sofa,2,.9.2023,34
mammo-sofa-grey,Mammo sofa,Sofa,1,.9.2023,34
mammo-sofa-navy,Mammo sofa,Sofa,3,.9.2023,34
mammo-sofa+ottoman-anthracite,Mammo sofa,Sofa,10,.9.2023,34
mammo-sofa-cream_SF,Mammo sofa,Sofa,16,.9.2023,34
mammo-L-sofa-anthracite,Mammo sofa,Sofa,8,.9.2023,34
mammo-L-sofa-cream,Mammo sofa,Sofa,11,.9.2023,34
mammo-L-sofa-navy,Mammo sofa,Sofa,26,.9.2023,34
mammo-sofa+bergere+ottoman-anthracite,Mammo set,Sofa,-1,.9.2023,34
mammo-sofa+bergere+ottoman-cream,Mammo set,Sofa,1,.9.2023,34
mammo-sofa+bergere+ottoman-grey,Mammo set,Sofa,2,.9.2023,34
mammo-sofa+bergere+ottoman-navy,Mammo set,Sofa,-2,.9.2023,34
luna-pouf-anthracite,Luna,Pouf,3,.9.2023,26
luna-pouf-beige,Luna,Pouf,4,.9.2023,26
luna-pouf-black,Luna,Pouf,1,.9.2023,26
luna-pouf-cube-cream,Luna,Pouf,29,.9.2023,26
luna-pouf-cube-grey,Luna,Pouf,8,.9.2023,26
luna-pouf-green,Luna,Pouf,8,.9.2023,26
luna-pouf-mustard,Luna,Pouf,3,.9.2023,26
luna-pouf-red,Luna,Pouf,6,.9.2023,26
luna-pouf-cube-Anthrazit,Luna,Pouf,0,.9.2023,26
salamanca-sofabed+bergere-navy,Salamanca,Sofa,18,.9.2023,26
palencia-L-sofa-anthracite,Palencia,Sofa,5,.9.2023,26
palencia-L-sofa-cream,Palencia,Sofa,3,.9.2023,26
palencia-L-sofa+pouf-anthracite,Palencia,Sofa,3,.9.2023,26
palencia-L-sofa+pouf-cream,Palencia,Sofa,1,.9.2023,26
palencia-L-sofa+pouf-grey,Palencia,Sofa,1,.9.2023,26
palencia-pouf-anthracite,Palencia,Sofa,3,.9.2023,26
bilbao-sofa-anthracite,Bilbao,Sofa,10,.9.2023,26
bilbao-sofa-purple_SF,Bilbao,Sofa,0,.9.2023,26
murcia-sofa-black,Murcia,Sofa,6,.9.2023,26
murcia-sofa-sand,Murcia,Sofa,3,.9.2023,26
palamos-sofa-brown,Palamos,Sofa,1,.9.2023,26
palamos-sofa-green,Palamos,Sofa,5,.9.2023,26
palamos-sofa-grey,Palamos,Sofa,4,.9.2023,26
palamos-sofa-grey_SF,Palamos,Sofa,25,.9.2023,26
berne-180U-Mia-Orange-6x,Berne Mia Set,Set,26,.9.2023,26
sevilla-140-K-U,Sevilla,Dining table,0,.9.2023,26
sevilla-160-K-U,Sevilla,Dining table,0,.9.2023,26
La-Moncloa-120-Profil-Buche,La Moncloa,Dining table,28,.9.2023,26
La-Moncloa-160-Profil-Buche,La Moncloa,Dining table,11,.9.2023,26
Pingu-Metallbeinen,Table legs,Legs,16,.9.2023,26
Spider-leg-120,Table legs,Legs,30,.9.2023,26
Spider-leg-150,Table legs,Legs,14,.9.2023,26
Spider-leg-85,Table legs,Legs,9,.9.2023,26
U-Legs,Table legs,Legs,28,.9.2023,26
holzbeinstuhle_x4,Industrial chairs,Chair,5,.9.2023,31
metallbeinstuhle_x2,Industrial chairs,Chair,16,.9.2023,31
metallbeinstuhle_x4,Industrial chairs,Chair,6,.9.2023,31
ayna_yuvarlak_ceviz,Round wooden mirrors,Mirror,25,.9.2023,23
ayna_yuvarlak_oak,Round wooden mirrors,Mirror,6,.9.2023,23
ayna_yuvarlak_siyah,Round wooden mirrors,Mirror,31,.9.2023,23
Ayna-yuvarlak-beyaz,Round wooden mirrors,Mirror,32,.9.2023,23
Obejo-Black-47,Round wooden mirrors,Mirror,0,.9.2023,23
Obejo-Black-78,Round wooden mirrors,Mirror,22,.9.2023,23
Obejo-Oak-47,Round wooden mirrors,Mirror,8,.9.2023,23
Obejo-Oak-78,Round wooden mirrors,Mirror,2,.9.2023,23
Obejo-Walnut-45,Round wooden mirrors,Mirror,5,.9.2023,23
Obejo-Walnut-45_UK,Round wooden mirrors,Mirror,17,.9.2023,23
Obejo-Walnut-78,Round wooden mirrors,Mirror,20,.9.2023,23
Obejo-White-45,Round wooden mirrors,Mirror,22,.9.2023,23
Obejo-White-45_UK,Round wooden mirrors,Mirror,23,.9.2023,23
Obejo-White-78,Round wooden mirrors,Mirror,2,.9.2023,23
ekohali_arya_black80150,Arya,Carpet,0,.9.2023,31
ekohali_arya_grey_120180,Arya,Carpet,0,.9.2023,31
ekohali_arya_grey_80150,Arya,Carpet,0,.9.2023,31
ekohali_arya_natural120180,Arya,Carpet,0,.9.2023,31
ekohali_arya_pinkaqua160230,Arya,Carpet,0,.9.2023,31
Berne 120 pingu,Berne tables,Dining table,5,.8.2023,36
Berne 120 pingu K-A Dark,Berne tables,Dining table,12,.8.2023,36
Berne 120 profil,Berne tables,Dining table,4,.8.2023,36
Berne 120 profil K-A Dark,Berne tables,Dining table,2,.8.2023,36
Berne 140 pingu,Berne tables,Dining table,8,.8.2023,36
Berne 140 pingu K-A Dark,Berne tables,Dining table,4,.8.2023,36
Berne 140 profil,Berne tables,Dining table,9,.8.2023,36
